,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,upt_puskesmas,jenis_kelamin,jumlah_kasus,satuan,tahun
121,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,UPT ARCAMANIK,LAKI LAKI,52,ORANG,2018
122,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,UPT ARCAMANIK,PEREMPUAN,43,ORANG,2018
123,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,32.73.16,KIARACONDONG,UPT BABAKAN SARI,LAKI LAKI,103,ORANG,2018
124,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,32.73.16,KIARACONDONG,UPT BABAKAN SARI,PEREMPUAN,72,ORANG,2018
125,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,UPT CARINGIN,LAKI LAKI,38,ORANG,2018
126,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,UPT CARINGIN,PEREMPUAN,50,ORANG,2018
127,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,UPT CETARIP,LAKI LAKI,40,ORANG,2018
128,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,UPT CETARIP,PEREMPUAN,49,ORANG,2018
129,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,UPT CIBIRU,LAKI LAKI,52,ORANG,2018
130,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,UPT CIBIRU,PEREMPUAN,53,ORANG,2018
131,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,UPT CIBUNTU,LAKI LAKI,26,ORANG,2018
132,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,UPT CIBUNTU,PEREMPUAN,21,ORANG,2018
133,32,JAWA BARAT,3273,KOTA BANDUNG,3273121,CINAMBO,32.73.29,CINAMBO,UPT CINAMBO,LAKI LAKI,15,ORANG,2018
134,32,JAWA BARAT,3273,KOTA BANDUNG,3273121,CINAMBO,32.73.29,CINAMBO,UPT CINAMBO,PEREMPUAN,9,ORANG,2018
135,32,JAWA BARAT,3273,KOTA BANDUNG,3273100,RANCASARI,32.73.23,RANCASARI,UPT CIPAMOKOLAN,LAKI LAKI,58,ORANG,2018
136,32,JAWA BARAT,3273,KOTA BANDUNG,3273100,RANCASARI,32.73.23,RANCASARI,UPT CIPAMOKOLAN,PEREMPUAN,42,ORANG,2018
137,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,UPT CIUMBULEUIT,LAKI LAKI,22,ORANG,2018
138,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,UPT CIUMBULEUIT,PEREMPUAN,23,ORANG,2018
139,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,UPT GARUDA,LAKI LAKI,34,ORANG,2018
140,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,UPT GARUDA,PEREMPUAN,33,ORANG,2018
141,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,UPT GRIYA ANTAPANI,LAKI LAKI,61,ORANG,2018
142,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,UPT GRIYA ANTAPANI,PEREMPUAN,67,ORANG,2018
143,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,UPT IBRAHIM AJI,LAKI LAKI,79,ORANG,2018
144,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,UPT IBRAHIM AJI,PEREMPUAN,83,ORANG,2018
145,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,UPT KOPO,LAKI LAKI,34,ORANG,2018
146,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,UPT KOPO,PEREMPUAN,50,ORANG,2018
147,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,UPT KUJANGSARI,LAKI LAKI,38,ORANG,2018
148,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,UPT KUJANGSARI,PEREMPUAN,36,ORANG,2018
149,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,UPT MARGAHAYU RAYA,LAKI LAKI,67,ORANG,2018
150,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,UPT MARGAHAYU RAYA,PEREMPUAN,64,ORANG,2018
151,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,UPT NEGLASARI,LAKI LAKI,50,ORANG,2018
152,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,UPT NEGLASARI,PEREMPUAN,62,ORANG,2018
